function_ID,run_ID,dim,best_fitness,time_period,communication_percentage,total_FEs,node_num,total_pop_size,interval,migration_size,buffer_capacity,migration_topology,buffer_manage,EA_parameters
23,1,10,374.717,1.67232,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,2,10,377.072,1.63273,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,3,10,391.688,1.62497,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,1,10,374.396,6.67501,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,4,10,392.619,1.62673,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,5,10,366.428,1.62596,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,6,10,379.48,1.62506,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,2,10,391.296,6.68379,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,7,10,382.654,1.62383,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,8,10,388.871,1.62391,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,9,10,377.133,1.6274,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,10,10,382.928,1.62382,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,3,10,378.133,6.68398,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,11,10,395.885,1.62402,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,12,10,343.269,1.62379,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,13,10,391.243,1.63137,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,14,10,390.807,1.62743,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,4,10,368.965,6.68903,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,15,10,362.68,1.62276,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,5,10,401.293,6.68493,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,6,10,389.844,6.68222,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,7,10,391.496,6.68681,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,8,10,372.584,6.68628,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,9,10,360.502,6.68547,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,10,10,383.847,6.68407,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,11,10,400.969,6.68498,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,12,10,387.697,6.68711,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,13,10,391.692,6.68447,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,14,10,378.39,6.68414,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,15,10,369.719,6.68943,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,1,10,371.001,0.464912,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,2,10,386.063,0.412875,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,3,10,399.729,0.411807,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,4,10,385.482,0.41237,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,5,10,360.326,0.412775,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,6,10,380.554,0.413348,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,7,10,380.726,0.412889,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,8,10,375.329,0.414031,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,9,10,388.111,0.414123,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,10,10,400.952,0.413539,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,11,10,371.755,0.413364,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,12,10,394.697,0.413225,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,13,10,398.136,0.41362,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,14,10,374.07,0.414921,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,15,10,382.83,0.414308,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,1,10,413.078,3.53073,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,2,10,362.919,3.39437,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,3,10,373.761,3.39807,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,4,10,374.338,3.38977,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,5,10,362.667,3.39245,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,6,10,393.961,3.40376,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,7,10,365.625,3.38052,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,8,10,385.367,3.37998,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,9,10,369.214,3.39325,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,10,10,379.132,3.40073,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,11,10,375.089,3.38111,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,12,10,350.436,3.39714,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,13,10,426.688,3.38141,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,14,10,388.043,3.39082,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
